customer_id,begin_date,end_date,monthly_charges,total_charges,contract_duration,average_charges,monthly_charges_per_senior_citizen,total_charges_per_senior_citizen,high_monthly_charges,long_term_contract,type_One year,type_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,gender_Male,partner_Yes,dependents_Yes,internet_service_Fiber optic,internet_service_No,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,multiple_lines_Yes,senior_citizen_Yes,target
7590-VHVEG,2020-01-01,,-1.1616939352451685,-0.9941940877241977,-1.2803344294880583,-1.1718036134319347,-0.4187462912695446,-0.32424500363522957,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0
5575-GNVDE,2017-04-01,,-0.2608779199297493,-0.17373981825040724,0.06486605158813831,-0.3035175616891377,-0.4187462912695446,-0.32424500363522957,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,0
3668-QPYBK,2019-10-01,2019-12-01,-0.3639232943754246,-0.9596491092068434,-1.2401791912469777,-0.354842763115064,-0.4187462912695446,-0.32424500363522957,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,1
7795-CFOCW,2016-05-01,,-0.747850415293989,-0.19524770717404732,0.5132662119468705,-0.7888329643993441,-0.4187462912695446,-0.32424500363522957,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,0
9237-HQITU,2019-09-01,2019-11-01,0.19617817640187488,-0.94045745447498,-1.2401791912469777,0.36435798545021864,-0.4187462912695446,-0.32424500363522957,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
9305-CDSKC,2019-03-01,2019-11-01,1.1584890119510036,-0.6453692184426381,-0.9938937300350175,1.2346364422820295,-0.4187462912695446,-0.32424500363522957,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,1
1452-KIOVK,2018-04-01,,0.8078023344020117,-0.14731268909089865,-0.4236893470116744,0.7870856981649222,-0.4187462912695446,-0.32424500363522957,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,0
6713-OKOMC,2019-04-01,,-1.1650179795821258,-0.8741690378436584,-0.912244745611487,-1.1479032835448755,-0.4187462912695446,-0.32424500363522957,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0
7892-POOKP,2017-07-01,2019-11-01,1.3296772953043026,0.33651554451135574,-0.18008090168245272,1.4585362872574417,-0.4187462912695446,-0.32424500363522957,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,False,1
6388-TABGU,2014-12-01,,-0.28747027462540753,0.5314762853391823,1.2052748176348245,-0.2797267951016481,-0.4187462912695446,-0.32424500363522957,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,0
9763-GRSKD,2019-01-01,,-0.4935610235167579,-0.7481879571842651,-0.7917790308882456,-0.6468046158190925,-0.4187462912695446,-0.32424500363522957,False,True,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,0
7469-LKBCI,2018-10-01,,-1.5240147679735105,-0.8631834699626608,-0.6686363002822654,-1.467537254573536,-0.4187462912695446,-0.32424500363522957,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0
8091-TTVAX,2015-04-01,,1.181757322309704,1.4990665744239262,1.0433153567291331,1.0996247156497279,-0.4187462912695446,-0.32424500363522957,True,True,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,True,False,0
0280-XJGEX,2015-09-01,2019-10-01,1.2931128075977727,1.2145888969272465,0.6738871649111925,1.2637029501310386,-0.4187462912695446,-0.32424500363522957,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,1
5129-JLPIS,2018-01-01,,1.3529456056630036,0.17768805707524432,-0.3032236322884329,1.4168306709078715,-0.4187462912695446,-0.32424500363522957,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,True,True,True,False,False,0
3655-SNQYZ,2014-05-01,,1.6105590417771916,2.475877681529266,1.4917155170878655,1.6451487508216116,-0.4187462912695446,-0.32424500363522957,True,True,False,True,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False,0
8191-XWSZG,2015-10-01,,-1.4675060142452372,-0.5560508161330804,0.798368403458542,-1.4916113368696058,-0.4187462912695446,-0.32424500363522957,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
9959-WOFKT,2014-03-01,,1.3928341377064908,2.2495926306793175,1.5733645015113957,1.2991710527445948,-0.4187462912695446,-0.32424500363522957,True,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,True,True,False,0
4190-MFLUW,2019-01-01,2019-11-01,-0.3190486958265014,-0.7742621363716935,-0.9149217614942258,-0.3900985015646592,-0.4187462912695446,-0.32424500363522957,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,1
4183-MYFRB,2018-05-01,,0.8393807556031058,-0.18547540482207542,-0.4638445852527549,0.7881185929193731,-0.4187462912695446,-0.32424500363522957,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,0
8779-QRDMV,2019-11-01,2019-12-01,-0.8359375902233565,-0.9898704505662146,-1.2816729374294276,-0.8099783479446725,0.862088885753125,-0.2960773266680616,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,1
1680-VDCWW,2019-02-01,,-1.495760391109374,-0.9181333687409043,-0.8332727770706955,-1.584086051680037,-0.4187462912695446,-0.32424500363522957,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,0
1066-JKSGK,2019-11-01,2019-12-01,-1.4841262359300234,-0.9984736061356706,-1.2816729374294276,-1.465525696924292,-0.4187462912695446,-0.32424500363522957,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,1
3638-WEABW,2015-04-01,,-0.16281861198951006,0.5390426503656527,1.0433153567291331,-0.1423508460407971,-0.4187462912695446,-0.32424500363522957,False,True,False,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,0
6322-HRPFA,2016-01-01,,-0.17279074500038175,0.3030955940300073,0.6752256728525619,-0.13511652905560964,-0.4187462912695446,-0.32424500363522957,False,True,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,False,False,0
6865-JZNKO,2017-08-01,,-0.3157246514895444,-0.33208199947490835,-0.09843191725892238,-0.4540157328579944,-0.4187462912695446,-0.32424500363522957,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0
6467-CHFZW,2015-12-01,2019-11-01,1.1485168789401314,1.0879019163236925,0.5935766884290316,1.2041620740782928,-0.4187462912695446,-0.32424500363522957,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,True,True,True,False,1
8665-UTDHZ,2019-11-01,2019-12-01,-1.150059780065818,-0.9940396721114126,-1.2816729374294276,-1.1276666786040266,-0.4187462912695446,-0.32424500363522957,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,1
5248-YGIJN,2014-02-01,,0.8460288442770204,1.802757966025724,1.6108427238697376,0.7889828728709792,-0.4187462912695446,-0.32424500363522957,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,0
8773-HHUOZ,2018-06-01,2019-11-01,-0.0032644838155611237,-0.5251015154562937,-0.6284810620411849,-0.014683438668268697,-0.4187462912695446,-0.32424500363522957,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,1
3841-NFECX,2014-03-01,,1.0487955488314133,1.9781299834030968,1.5733645015113957,1.0122772913539617,2.693699340663222,4.483050372228016,True,True,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,False,True,True,0
4929-XIHVW,2019-12-01,,1.0205411719672768,-0.9272218305219706,-1.2388406833056085,0.8119184512843093,2.666241335607251,-0.1951993915019112,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,0
